n|chinese|pinyin|english|part_of_speech
1|您|nín|you (polite, respectful)|pronoun
2|它|tā|it, this, that|pronoun
3|大家|dàjiā|everyone, everybody, all|pronoun
4|每|měi|every, each, all|pronoun
5|为什么|wèishénme|why|pronoun
6|零|líng|zero|numeral
7|两|liǎng|two|numeral
8|百|bǎi|hundred|numeral
9|千|qiān|thousand|numeral
10|第一|dìyī|first|numeral
11|次|cì|times, frequency, occurrence|measure word
12|件|jiàn|piece, item, article|measure word
13|别|bié|do not, don't, must not|adverb
14|非常|fēicháng|very, extremely, quite|adverb
15|也|yě|also, too, as well|adverb
16|还|hái|still, yet, also|adverb
17|最|zuì|the most, most, -est|adverb
18|真|zhēn|really, truly, indeed|adverb
19|正在|zhèngzài|in the process of, currently, now|adverb
20|已经|yǐjīng|already, yet, have done|adverb
21|一起|yìqǐ|together, with, jointly|adverb
22|再|zài|again, once more, another time|adverb
23|就|jiǜ|at once, right away, immediately|adverb
24|因为……所以……|yīnwèi…suǒyǐ…|because…so…|conjunction
25|虽然……但是……|suīrán…dànshì…|although… but…|conjunction
26|从|cóng|from, since, through|preposition
27|比|bǐ|comparing to, than, compare|preposition
28|往|wǎng|toward, to, in the direction of|preposition
29|离|lí|from, away from, distance from|preposition
30|得|de||particle
31|着|zhe||particle
32|过|guò||particle
33|吧|ba||particle
34|机场|jīchǎng|airport|noun
35|教室|jiàoshì|classroom|noun
36|房间|fángjiān|room, chamber, apartment|noun
37|路|lù|road, street, path|noun
38|左边|zuǒbiān|left|noun
39|右边|yòubiān|right|noun
40|外|wài|outside|noun
41|旁边|pángbiān|side, beside, next to|noun
42|一下|yīxià|in a short while|noun
43|早上|zǎoshàng|morning|noun
44|晚上|wǎnshàng|night|noun
45|小时|xiǎoshí|hour|noun
46|时间|shíjiān|time, period, duration|noun
47|去年|qùnián|last year|noun
48|日|rì|date|noun
49|生日|shēngrì|birthday|noun
50|哥哥|gēge|older brother|noun
51|姐姐|jiějie|older sister|noun
52|弟弟|dìdi|younger brother|noun
53|妹妹|mèimei|younger sister|noun
54|丈夫|zhàngfu|husband|noun
55|妻子|qīzi|wife|noun
56|孩子|háizi|child, kid, children|noun
57|男人|nánrén|man|noun
58|女人|nǚrén|woman|noun
59|服务员|fúwùyuán|waiter|noun
60|鱼|yú|fish|noun
61|羊肉|yángròu|mutton|noun
62|牛奶|niúnǎi|milk|noun
63|鸡蛋|jīdàn|egg|noun
64|西瓜|xīguā|watermelon|noun
65|咖啡|kāfēi|coffee|noun
66|雪|xuě|snow|noun
67|药|yào|medicine, drug, medication|noun
68|手机|shǒujī|cellphone|noun
69|手表|shǒubiǎo|watch|noun
70|眼睛|yǎnjīng|eye|noun
71|身体|shēntǐ|body|noun
72|公共汽车|gōnggòngqìchē|bus|noun
73|报纸|bàozhǐ|newspaper|noun
74|门|mén|door|noun
75|题|tí|topic, item, question|noun
76|课|kè|lesson|noun
77|姓|xìng|surname|noun
78|问题|wèntí|question, problem, issue|noun
79|事情|shìqing|matter, affair, thing|noun
80|考试|kǎoshì|exam|noun
81|票|piào|ticket|noun
82|意思|yìsi|meaning, idea, significance|noun
83|颜色|yánsè|color|noun
84|铅笔|qiánbǐ|pencil|noun
85|面条|miàntiáo|noodle|noun
86|火车站|huǒchēzhàn|train station|noun
87|公司|gōngsī|company, corporation, firm|noun
88|宾馆|bīngguǎn|hotel|noun
89|说话|shuōhuà|talk, speak, chat|verb
90|卖|mài|sell|verb
